job_id,title,company_name,location,employment_type,description,requirements,salary_range,contact_email,company_website,domain_age,keyword_flag,email_type,text_length,fraudulent
1,Online Job Offer,Global Hiring,Bangalore,Full-time,Earn money fast with no experience required,Relevant qualifications required,68498/month,job@gmail.com,www.global hiring.com,25,1,1,137,1
2,Quick Cash Job,Unknown,Chennai,Contract,Earn money fast with no experience required,Relevant qualifications required,98782/month,fast@outlook.com,www.unknown.com,38,1,1,68,1
3,Work From Home Typing,FastCash Ltd,Bangalore,Contract,Earn money fast with no experience required,Relevant qualifications required,56523/month,job@gmail.com,www.fastcash ltd.com,41,1,1,128,1
4,Software Engineer,HCL,Bangalore,Part-time,Professional role requiring relevant skills and experience,Relevant qualifications required,7 LPA,hr@hcl.com,www.hcl.com,2350,0,0,105,0
5,Quick Cash Job,FastCash Ltd,Remote,Contract,Earn money fast with no experience required,Relevant qualifications required,47317/month,earn@yahoo.com,www.fastcash ltd.com,50,1,1,141,1
6,Software Engineer,Infosys,Bangalore,Part-time,Professional role requiring relevant skills and experience,Relevant qualifications required,7 LPA,hr@infosys.com,www.infosys.com,1700,0,0,136,0
7,Quick Cash Job,Global Hiring,Hyderabad,Full-time,Earn money fast with no experience required,Relevant qualifications required,36046/month,earn@yahoo.com,www.global hiring.com,4,1,1,124,1
8,Earn Money Fast,Global Hiring,Mumbai,Contract,Earn money fast with no experience required,Relevant qualifications required,56525/month,fast@outlook.com,www.global hiring.com,8,1,1,55,1
9,Earn Money Fast,FastCash Ltd,Remote,Full-time,Earn money fast with no experience required,Relevant qualifications required,86825/month,job@gmail.com,www.fastcash ltd.com,38,1,1,113,1
10,Earn Money Fast,FastCash Ltd,Mumbai,Full-time,Earn money fast with no experience required,Relevant qualifications required,63376/month,earn@yahoo.com,www.fastcash ltd.com,15,1,1,145,1
11,HR Manager,Infosys,Mumbai,Contract,Professional role requiring relevant skills and experience,Relevant qualifications required,6 LPA,hr@infosys.com,www.infosys.com,1675,0,0,93,0
12,Web Developer,HCL,Hyderabad,Contract,Professional role requiring relevant skills and experience,Relevant qualifications required,9 LPA,hr@hcl.com,www.hcl.com,2460,0,0,99,0
13,Marketing Executive,Accenture,Hyderabad,Full-time,Professional role requiring relevant skills and experience,Relevant qualifications required,6 LPA,hr@accenture.com,www.accenture.com,3993,0,0,83,0
